"",X12656,X12657,X12658,X12659,X12660,X12661,X12662,X12663,X12664,X12665,X12666,X12667
ENSRNOG00000023549,8.30228055585572,9.01277181105219,7.72338182124398,8.71324013566203,9.9002340074793,7.93699548473495,6.26391719633569,6.36117309149802,4.82354722515678,4.6149661297218,3.26937256318666,5.72212486505396
ENSRNOG00000031859,1.75813000006357,5.88953405474697,4.37092487685786,4.97222942524192,3.8672789091716,5.83215690314778,5.32228258512183,4.1729295480227,5.36411717280366,5.05448671350483,4.07551922260255,5.57154263176307
ENSRNOG00000053347,5.2743900001907,3.92635603649798,6.19567992253638,5.49312965074346,4.8985532849507,4.99899163126953,6.01827338471468,5.24160662739437,5.36411717280366,5.97747993944919,4.97123773306465,5.67193078729033
ENSRNOG00000053735,7.91158500028604,8.96815412881926,8.14774345977387,8.09763077825113,9.43616053837871,8.46320513013174,4.5853511502588,4.07115077855873,7.0689916230746,5.62586347242277,6.09088587114227,5.57154263176307
ENSRNOG00000049517,6.29996583356111,4.72947431669075,5.26208431777063,5.39842051883409,4.53760725342801,4.42893118208967,5.89545147890418,4.88538093427048,5.36411717280366,4.5710140713435,3.94116144603323,3.46339136569056
ENSRNOG00000012322,4.98136833351343,6.15724014814456,5.04990349850568,5.82461161242625,5.4657541916292,5.56905208044939,6.05921401998485,5.64872170525024,6.73633319375344,6.24119228971901,6.18045772218848,7.42872350901742
ENSRNOG00000046617,4.68834666683617,4.81870968115662,5.13477582621166,5.63519334860751,4.02197006553847,5.65675368801552,7.41025498390039,9.16008925175714,7.48481465972604,5.71376758917937,6.58353105189642,8.78396360863547
ENSRNOG00000011815,12.306910000445,9.14662485775098,9.76031768618745,9.80239515261979,10.5189986329468,9.73487843984066,4.66723242079914,4.12204016329071,6.11259863877627,4.6589181881001,4.5681644033567,4.86882554307223
ENSRNOG00000058047,3.76044472235818,4.01559140096385,3.18271228897417,4.45132919974039,4.84698956616174,5.39364886531712,7.49213625444072,3.91848262436278,4.98987643981736,4.21939760431708,5.5086688393419,5.77231894281759
ENSRNOG00000048976,4.44416194460512,3.83712067203212,3.4373292720921,3.69365614446543,4.33135237827219,2.4556450118517,6.38673910214619,6.20850493730206,5.07304104714765,5.49400729728786,5.73259846695743,4.36688476543592
ENSRNOG00000015465,6.54415055579216,4.72947431669075,6.32298841409535,6.20344814006373,5.41419047284024,5.87600770693085,6.30485783160586,7.73518647926159,7.65114387438662,8.87831579241718,8.64368362595925,8.73376953087184
ENSRNOG00000047971,7.37437861137773,4.72947431669075,6.23811608638937,5.58783878265283,6.54859228619725,7.84929387716882,6.83708609011804,5.59783232051825,6.48683937176257,6.32909640647561,4.20987699917186,6.52523010927206
ENSRNOG00000032150,3.17440138900366,4.32791517659437,4.45579720456384,4.78281116142318,3.45476915885996,3.72731832156061,6.59144227849703,8.3458590960454,7.11057392673974,6.28514434809731,4.16509107364876,5.01940777636312
ENSRNOG00000017963,5.7627594446528,6.38032855930922,6.40786074180133,5.63519334860751,7.52830294318738,6.66532217502604,5.24040131458149,5.54694293578627,3.9087365445236,5.58191141404447,4.97123773306465,5.01940777636312
ENSRNOG00000018690,13.3324858338154,12.6714217541526,10.4392963078353,10.4180045100307,11.1377632584142,11.269656572248,3.68465717431511,2.59535862133119,2.7028497382344,2.81293173621138,3.26937256318666,2.96145058805424
ENSRNOG00000004144,4.8348575001748,5.08641577455421,6.95953087189018,6.20344814006373,5.72357278557397,4.648185201005,5.77262957309367,5.49605355105429,5.32253486913852,5.36215112215295,6.09088587114227,4.56766107649044
ENSRNOG00000039076,3.90695555569681,5.44335723241766,6.53516923336029,5.91932074433562,3.19695056491519,7.76159226960269,7.57401752498106,7.6842970945296,9.0233598953364,9.93316519349645,6.94181845608126,7.27814127572653
ENSRNOG00000011234,3.22323833344987,5.30950418571886,4.2011802214459,5.11429312310598,4.4344798158501,5.48135047288325,7.98342387768274,5.4451641663223,6.36209246076714,6.1093361145841,4.43380662678739,7.077364964672
ENSRNOG00000042826,9.23018250033372,9.4589486333815,8.57210509830376,6.53493010174653,6.6001560049862,7.98084628851802,6.01827338471468,5.49605355105429,5.8631048167854,6.50490463998883,4.88166588201844,6.82639457585385
ENSRNOG00000043341,7.7162372225012,5.08641577455421,6.53516923336029,4.59339289760444,6.75484716135306,6.18296333341231,5.52698576147267,5.69961108998222,5.61361099479453,3.29640437837272,4.20987699917186,3.76455583227234
ENSRNOG00000047884,7.27670472248531,7.67424134406424,9.76031768618745,6.01402987624499,9.43616053837871,6.27066494097844,6.46862037268653,7.6842970945296,6.07101633511112,5.53795935566616,6.09088587114227,5.47115447623581
ENSRNOG00000061533,9.52320416701098,8.20965353085942,8.31748811518583,5.77725704647157,7.21892063045366,7.54233825068736,4.54441051498864,5.64872170525024,4.03348345551903,5.01053465512653,5.06080958411086,3.81474991003597
ENSRNOG00000060293,6.739498333577,7.71885902629717,7.85069031280295,8.61853100375266,7.68299409955425,9.1648179906608,4.79005432660964,3.46047816177492,5.57202869112939,6.81256904863695,6.49395920085021,6.52523010927206
ENSRNOG00000056036,8.30228055585572,6.11262246591163,7.2565840188611,6.58228466770121,8.50801360017752,7.1038302128567,4.70817305606931,5.95405801364214,6.27892785343685,6.37304846485392,4.92645180754154,5.16999000965402
ENSRNOG00000045583,4.15114027792786,3.34632616746987,5.09233966235867,5.20900225501535,5.20793559768442,3.90272153669288,10.3989213586226,8.85475294336524,8.10854921470321,9.01017196755209,9.49461621089824,10.0388155527262
ENSRNOG00000019376,10.2557583337041,8.56659498872287,9.37839221151055,6.86641206342932,8.86895963170021,8.06854789608415,7.53307688971089,6.15761555257008,5.03145874348251,6.90047316539355,5.73259846695743,4.76843738754497
ENSRNOG00000019127,6.00694416688385,6.24647551261043,5.60157362859454,6.34551183792779,5.92982766072979,6.05141092206311,5.85451084363401,5.64872170525024,5.77994020945511,5.97747993944919,5.19516736068017,6.12367748716301
ENSRNOG00000050476,7.2278677780391,5.88953405474697,6.78978621647823,5.11429312310598,6.0329550983077,8.24395111121641,6.5095610079567,8.75297417390127,6.40367476443228,4.6589181881001,6.22524364771158,4.26649660990866
ENSRNOG00000046153,5.32322694463691,4.99718041008834,4.79528651538775,5.58783878265283,4.33135237827219,4.47278198587274,6.10015465525502,8.90564232809722,5.57202869112939,5.88957582269259,8.41975399834372,6.97697680914474
ENSRNOG00000015956,5.17671611129828,5.84491637251404,5.51670130088856,5.25635682097003,5.05324444131756,4.03427394804207,4.99475750296048,4.88538093427048,5.40569947646881,5.97747993944919,3.94116144603323,3.81474991003597
ENSRNOG00000015997,5.03020527795965,6.38032855930922,6.06837143097742,7.52937598679491,6.13608253588561,6.53376976367684,3.72559780958528,3.91848262436278,4.19981267017961,4.08754142918217,3.35894441423287,3.71436175450871
ENSRNOG00000016274,4.19997722237407,6.24647551261043,4.5831056961228,4.64074746355913,4.74386212858383,7.32308423177203,7.28743307808988,5.49605355105429,5.15620565447794,5.75771964755768,6.98660438160437,6.02328933163575
