"",X12656,X12657,X12658,X12659,X12660,X12661,X12662,X12663,X12664,X12665,X12666,X12667
ENSRNOG00000058609,26.6649716676307,28.2876105356786,28.0078681429727,28.1286121770829,26.194369144789,28.0206636173792,170.272102088628,188.850506740393,188.575747121431,185.785350765086,196.341497493292,176.532571494691
ENSRNOG00000018646,24.2231244453202,23.4242831722891,22.7033476613491,28.0339030451735,24.9568398938541,24.0740912769033,138.747812930599,133.177519843602,150.361610053163,139.85544975976,154.153155650527,135.624398117332
ENSRNOG00000011407,23.1975486119498,23.4242831722891,23.5945071022618,25.3820473517111,20.8833061095267,22.583163948279,119.874180071052,107.681938092878,115.806715707428,108.869248603056,109.815089382653,111.12968816868
ENSRNOG00000009951,43.1230219460036,43.2791517659437,44.2609188986674,44.9868376569507,42.9010140324103,44.2016102133306,138.584050389518,146.408759873918,146.078632775653,137.482038607331,143.852392780213,138.937207249731
ENSRNOG00000017939,30.4254163899889,25.9228733773333,28.1776127983846,27.4182936877626,24.7505850186982,28.546873262776,85.6887496204614,83.7639272688459,95.5561338225025,89.3105826247115,87.6012703231932,82.217899376828
ENSRNOG00000027839,40.1439683347847,43.6807109060401,40.2719194964865,46.4074746355913,47.0776752543156,48.8059446105525,159.586596283114,135.823767849666,152.981295184067,141.437723861379,141.837026131673,135.473815884041
ENSRNOG00000001518,38.0928166680439,39.6205018228433,36.3253562581585,33.9058692235544,39.5493723111282,40.47429189177,120.856755317536,126.511010443713,119.590705340956,133.086832769501,136.059641739193,128.597227230423
ENSRNOG00000005998,28.5207755565867,35.0248805528513,31.6573782343297,31.9169774534577,32.6913977121973,34.2474777545746,123.026608986855,108.445278863858,125.162734032085,131.504558667882,142.060955759289,120.967727410351
ENSRNOG00000004281,35.3579477790561,34.7125567772208,39.0412707447498,34.8056059766934,39.4978085923393,45.4294327192564,125.892453455766,135.823767849666,128.281406806971,123.856900510058,121.549001869707,119.863457699551
ENSRNOG00000005615,37.6044472235818,37.3003823467308,36.6648455689824,35.1370879383762,32.7429614309862,37.5801388420876,107.673870760542,96.5880522213059,100.670757173315,100.430453394422,100.186115395186,92.3571030850815
ENSRNOG00000014886,25.1998633342444,24.6289605925783,21.5151350734654,23.3458010156597,22.8427274235069,21.7938494801838,76.4361660494035,83.8657060383099,78.6737185344537,71.8176633901469,73.8072052620769,72.9821890683198
ENSRNOG00000016374,36.3835236124266,38.1035006269236,38.404728286955,41.0090541167572,36.5586766213689,36.9223767853416,95.1050957326,93.6364679068508,93.1027779062589,90.1896237922775,94.0504435985203,87.9902183196456
ENSRNOG00000050792,18.7533866673447,18.6501911733654,15.9559976087238,21.0254272838801,18.5113750452347,17.5403215132264,64.4815005505144,63.4081733760522,61.9576324610656,68.8728754788006,71.3887652838292,74.7389817900469
ENSRNOG00000053706,16.1161916672493,15.660806463759,16.5076677388127,16.9529346117772,18.9238847955464,16.2247973997344,49.2925248652821,48.141357956457,50.3145874348251,52.8743262290984,48.1896558628609,46.0279693092499
ENSRNOG00000057794,24.0766136119816,25.0751374149076,29.3658253862683,22.398709696566,24.4412027059645,23.7671356504218,86.0572153378929,83.7639272688459,72.2700437700215,73.9713142506837,77.0317918997405,73.4841298459561
ENSRNOG00000016066,15.7743330561259,19.3640740890923,17.7383164905494,17.28441657346,16.3972625748876,20.3467729553426,61.2471903641712,56.7925533608943,58.2983897385328,55.6872579653097,56.5198380101584,58.9278472945031
ENSRNOG00000007744,41.0718702792627,37.3896177111967,36.7497178966884,41.0564086827119,39.6009360299172,41.4390095749974,115.575413367684,107.936385016538,117.76108397969,102.759912488472,99.3351828102467,103.449994270844
ENSRNOG00000004152,47.2253252794852,42.0744743456545,42.139110706018,41.7667271720321,46.9229840979488,41.3074571636482,106.936939325679,104.068791776908,111.981143770235,107.858351260355,110.934737520731,104.604458059408
