"",X12656,X12657,X12658,X12659,X12660,X12661,X12662,X12663,X12664,X12665,X12666,X12667
ENSRNOG00000014303,39.9974575014461,43.1006810370119,46.2129824359049,49.8643579502833,45.3245088154912,43.2807433338862,51.3395566287905,48.3449154953849,51.146233508128,56.8739635415239,53.6535387766797,56.5687256396124
ENSRNOG00000014330,29.1556558343875,34.8910275061525,30.0872401717691,31.0172407003187,30.783540117006,32.8004012297334,32.3431018634326,28.803391758303,29.6481825132482,30.7224888064337,29.6482826962955,29.6145058805424
ENSRNOG00000015239,56.5531816687113,53.7643070906826,47.9104289900245,53.1318230011565,50.2230621004419,50.0776179202614,55.5155014263477,62.1359387577526,55.8450338222893,52.6545659372069,47.5626529055374,59.7309525387212
ENSRNOG00000013160,35.797480279072,30.2061708716947,35.9434307834816,29.0283489302219,30.680412679428,29.248486123305,32.0155767812713,36.5385782375646,31.3946392671842,30.9422490983252,27.9016316008944,24.093157326543
ENSRNOG00000013351,36.3346866679803,31.8570251143132,36.9194625521004,36.1788883893793,31.5054321800513,31.0902198821938,37.3378593663931,36.8439145459565,36.4260980106667,35.2935028777772,35.022593759068,35.4370189011237
ENSRNOG00000014450,45.9067277794375,54.5228076886424,49.904928691115,41.7193726060775,51.3059001950099,49.5075574710816,53.6322322039199,59.2861332127615,58.4647189531934,59.1594705771957,49.7571632561696,54.4103802957763
ENSRNOG00000014902,16.9464197228349,20.8364576027791,21.8546243842893,18.8471172499646,21.7598893289389,23.240926005025,36.0277590377477,31.8058654574901,37.7983140316165,33.7112287761583,35.6495967163915,33.8308084126875
ENSRNOG00000014908,27.4463627787701,28.2429928534457,28.3049212899436,26.6606206324876,33.1039074625089,23.5917324352895,26.6932941961495,27.6838252941994,26.0721043980457,24.6571047502279,22.9751797933528,28.8114006363243
ENSRNOG00000011015,35.6509694457334,35.7387634685782,35.5190691449517,31.869622887503,36.0430394334793,34.2913285583576,54.0006979213514,52.8231813517995,50.2730051311599,49.2702574420775,47.1595795758295,44.8233114429227
ENSRNOG00000011540,46.3462602794534,42.6098865324497,38.9988345808968,44.1344554697664,41.9728670942091,42.7106828847063,43.2333108452973,48.039579186993,40.8338221991721,41.5786472258745,39.8146877900403,49.7925251415222
ENSRNOG00000060972,43.6602283349119,38.7281481781846,36.7497178966884,40.2513810614822,40.5806466869073,33.6774173053947,37.8291469896351,38.370596087916,36.5508449216622,42.3258322183057,38.0680366946392,39.201574733396
ENSRNOG00000059224,39.0695555569681,42.1190920278875,42.054238378312,42.3349819634884,39.6524997487062,41.9652192203942,39.7942974826032,44.0193177931663,41.0001514138327,46.7649901145143,39.8594737155634,43.9198180431773
ENSRNOG00000012074,44.8811519460671,50.9533931100079,49.5230032164381,52.1373771161081,49.0370965682959,51.7439484640179,43.0695483042166,42.0346317886189,44.0772418850534,43.7762501447897,45.0994270017666,42.2634134769775
ENSRNOG00000013969,46.3950972238996,39.9328255984738,44.5155358817854,37.3153979722918,40.5806466869073,41.2636063598651,60.96060591728,62.4412750661445,58.9637065971752,52.8743262290984,58.490418733175,52.1516467964129
ENSRNOG00000047605,28.7161233343716,29.6707586848995,28.0078681429727,26.0450112750767,29.1335011157594,27.0559459341517,35.7821152261267,35.419011773461,31.4362215708494,29.0523105880582,30.6783589833269,28.4600420919789
ENSRNOG00000011720,22.4161575008105,22.174988069767,23.5520709384088,19.6521448711943,23.7708743617081,23.1093735936758,31.7289923343801,35.0118966956051,33.7648305760975,30.1511120475158,27.7224878988019,29.3133414139606
ENSRNOG00000026462,50.7904222240586,37.7019414868272,52.3662261945883,45.839219844135,48.4698956616174,43.7192513717168,35.9868184024776,40.9659547092472,38.8794539269103,45.6661886550567,54.9523306168497,51.0975711633766
ENSRNOG00000055111,41.4625658348324,41.8067682522569,39.0412707447498,46.8810202951381,40.5290829681184,36.1769131210295,24.3596779857499,24.7322409797443,21.1238102618935,25.975666501577,30.8575026854193,30.768969669106
ENSRNOG00000013422,48.2509011128556,48.5886559516625,46.7646525659938,39.0201623466604,44.8088716276016,42.6668320809232,56.579957943372,57.1487790540182,53.4332602097109,53.6654632799078,49.2197321498923,50.1438836858676
ENSRNOG00000013791,26.4207869453997,27.7075806666505,25.8860599503232,25.6188201814846,27.9475355836134,25.3457645866122,34.5129555327515,33.4852151536456,30.6461578012116,32.6124273167007,30.7679308343731,31.3211045245059
