"",X12656,X12657,X12658,X12659,X12660,X12661,X12662,X12663,X12664,X12665,X12666,X12667
ENSRNOG00000011058,273.340378065438,245.48648764559,270.488108398951,225.975988735757,277.980007991255,257.00956097255,346.808121373592,373.070079470176,331.618871729529,336.628815119422,329.086980743775,298.453986382551
ENSRNOG00000025587,360.465486957477,236.295245105606,259.284961141762,194.106365848254,240.132238400162,183.910271066179,600.967585130794,644.106942552723,611.343028484957,651.633217516719,638.960799438138,498.979327048258
ENSRNOG00000033517,268.407846676371,306.389623893541,338.258662072175,305.389595841763,367.597751246458,366.636570430215,334.0346431693,330.628332603701,337.190900420658,326.475889634034,320.577654894385,366.466961752272
ENSRNOG00000014791,416.334951403941,348.285627510264,379.973411139663,352.270616136901,358.883482771125,338.703608420402,356.961398920594,390.677806587442,349.208186179885,329.332773428624,332.132423679346,298.453986382551
ENSRNOG00000017127,404.955943347974,375.903972812449,376.536081867571,378.74181850557,380.849626975219,411.539793504075,307.21852706734,244.370825482988,303.717145970217,261.866363817929,282.330474497653,280.936253243044
ENSRNOG00000028449,387.472317236231,353.416660967051,356.888138003637,313.43987205406,367.133677777357,329.538790429741,281.344045576594,249.510653340918,292.489923980628,287.402509735723,308.440669077624,320.288410209731
ENSRNOG00000019578,435.283685849071,498.825687364176,453.345538441481,490.924785252219,525.021784709137,548.003494876976,565.922401339531,482.43136725921,512.460310369243,457.62883183489,440.783078998399,555.447664532343
ENSRNOG00000037380,376.874700291404,386.87992264175,379.209560190309,402.703228878641,433.650875015109,400.226286128044,352.621691581956,315.259738414642,373.201175394673,376.800996477191,376.156988468558,339.462547915438
ENSRNOG00000020060,351.772510846052,416.907622784513,438.959678895317,456.782143198891,440.715104489196,482.797349651557,421.401958835838,350.576971418639,406.674929845115,385.767216386364,347.404424282725,471.723942822606
ENSRNOG00000020595,478.748566406198,483.878763816143,491.750266728436,463.127655036819,467.579801978241,453.329609509337,414.196407028289,364.062658372614,403.847333195885,362.077056920459,392.951710539723,441.055361309028
